,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_component,binary,binary_separation,time_since_acc_ended,origin,comment,log(H/H(e)),log(H/H(e))e,log(He/H(e)),log(He/H(e))e,log(Li/H(e)),log(Li/H(e))e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,log(Be/H(e)),log(Be/H(e))e,Acc_rate_Be_steady_state,Sinking_time_Be,log(C/H(e)),log(C/H(e))e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,log(N/H(e)),log(N/H(e))e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,log(O/H(e)),log(O/H(e))e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,log(Na/H(e)),log(Na/H(e))e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,log(Mg/H(e)),log(Mg/H(e))e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,log(Al/H(e)),log(Al/H(e))e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,log(Si/H(e)),log(Si/H(e))e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,log(P/H(e)),log(P/H(e))e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,log(S/H(e)),log(S/H(e))e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,log(Cl/H(e)),log(Cl/H(e))e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,log(Ar/H(e)),log(Ar/H(e))e,log(K/H(e)),log(K/H(e))e,Acc_rate_K_steady_state,Sinking_time_K,log(Ca/H(e)),log(Ca/H(e))e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,log(Sc/H(e)),log(Sc/H(e))e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,log(Ti/H(e)),log(Ti/H(e))e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,log(V/H(e)),log(V/H(e))e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,log(Cr/H(e)),log(Cr/H(e))e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,log(Mn/H(e)),log(Mn/H(e))e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,log(Fe/H(e)),log(Fe/H(e))e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,log(Co/H(e)),log(Co/H(e))e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,log(Ni/H(e)),log(Ni/H(e))e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,log(Cu/H(e)),log(Cu/H(e))e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,log(Zn/H(e)),log(Zn/H(e))e,Acc_rate_Zn_steady_state,Sinking_time_Zn,log(Ga/H(e)),log(Ga/H(e))e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,log(Ge/H(e)),log(Ge/H(e))e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,log(As/H(e)),log(As/H(e))e,log(Se/H(e)),log(Se/H(e))e,log(Sr/H(e)),log(Sr/H(e))e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,log(Sn/H(e)),log(Sn/H(e))e,log(I/H(e)),log(I/H(e))e,log(Ba/H(e)),log(Ba/H(e))e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing,total_detections,total_upper_limits,Number of detected elements with error,Number of modellable detected elements with error
33,WD0322-019,Zuckerman 2003,WD0322-019 Zuckerman 2003,5204,,8,,H,,,51.2960312,-1.820846401,Gaia DR3 3261591090771914240,59.06632711,0.057836663,,120000,,,,,,,https://ui.adsabs.harvard.edu/abs/2003ApJ...596..477Z/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
34,NLTT 7547 Spectral,Kawka 2019,NLTT 7547 Spectral Kawka 2019,5198,54,7.89,0.04,H,0.52,0.02,34.33221575,-6.941322916,Gaia DR3 2486955560973911424,22.4054,0.1149,,163000,4000,,,,,,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.5201K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.68,0.09,,,,,,-8.09,0.14,,,,,,-9.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.84,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,5
35,NLTT 7547 (Balmer),Kawka 2019,NLTT 7547 (Balmer) Kawka 2019,5460,80,8.04,0.18,H,0.61,0.12,34.33221575,-6.941322916,Gaia DR3 2486955560973911424,22.4054,0.1149,,163000,4000,,,,,,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.5201K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.57,0.08,,,,,,-7.99,0.19,,,,,,-8.79,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.81,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,5
36,NLTT 7547 Balmer,Kawka 2019,NLTT 7547 Balmer Kawka 2019,5460,80,8.04,0.18,H,0.61,0.12,34.33221575,-6.941322916,Gaia DR3 2486955560973911424,22.4054,0.1149,,163000,4000,,,,,,https://ui.adsabs.harvard.edu/abs/2019MNRAS.482.5201K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.57,0.08,,,,,,-7.99,0.19,,,,,,-8.79,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.81,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,5,5
37,WD J1132-3602,O'Brien 2023,WD J1132-3602 O'Brien 2023,4990,10,8.12,0.02,H,,,173.068919,-36.03470858,Gaia DR3 5398247534240054528,27.44,0.12,,250000,20000,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.518.3055O/abstract,Zeeman splitting in Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.84,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
38,NLTT 53908,Kawka & Vennes 2014,NLTT 53908 Kawka & Vennes 2014,6250,70,7.87,0.12,H,0.51,0.07,336.9181566,17.88926658,Gaia DR3 2737921155893258496,24.1801,0.62,,334000,3000,,,,,,https://ui.adsabs.harvard.edu/abs/2014MNRAS.439L..90K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7,-1,,,,,,,,,,,,,-8,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.85,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1
39,NLTT 10480,Kawka & Vennes 2011b,NLTT 10480 Kawka & Vennes 2011b,5050,150,8,0.5,H,,,49.30040585,-29.19283684,Gaia DR3 5058635403471767680,31.7457,0.0675,,519000,4000,,,,,,https://ui.adsabs.harvard.edu/abs/2011A%26A...532A...7K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3,-1,,,,,,,,,,,,,-9.3,-1,,,,,,-8.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.3,0.3,398107.1706,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1
40,WD J2147-4035,Elms 2022,WD J2147-4035 Elms 2022,3048,35,8.195,0.042,He,0.69,0.02,326.9857943,-40.59105195,Gaia DR3 6584418167391671808,35.79,0.49,6.57E+27,550000,30000,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.517.4557E/abstract,,-5.66,-1,,,-13.2,0.2,,130648464000000,,,,,,,,,,,,,,,,,,,,,,,-13.1,0.2,,,,53647920000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.9,0.2,,30610872000000,-13.2,-1,,,,30610872000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,1
41,WD 1328+307,Leggett 2018,WD 1328+307 Leggett 2018,5726,20,7.937,0.021,He,0.533,0.018,202.7475774,30.49823662,Gaia DR3 1468213546275054208,39.1518,0.0415,,650000,,,,,,,https://ui.adsabs.harvard.edu/abs/2018ApJS..239...26L/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
42,WD1328+307,Dufour 2007,WD1328+307 Dufour 2007,6440,210,7.99,0.29,He,0.57,0.17,202.7475774,30.49823662,Gaia DR3 1468213546275054208,39.15177821,0.04150627,,650000,,,,,,,https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1291D/abstract,,-3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.1,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
43,J1330+3029,Caron 2023,J1330+3029 Caron 2023,6274,12,8.205,0.003,He,0.703,0.004,202.7475774,30.49823662,Gaia DR3 1468213546275054208,39.15177821,0.04150627,,650000,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
44,G165-7,Dupuis 1993,G165-7 Dupuis 1993,7500,,,,He,,,202.7475774,30.49823662,Gaia DR3 1468213546275054208,39.1518,0.0415,,650000,,,,,,,https://ui.adsabs.harvard.edu/abs/1993ApJS...87..345D/abstract,,-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,819770831,,,3,0,0,0
45,SDSS J133059.26+302953.2,Hollands 2017,SDSS J133059.26+302953.2 Hollands 2017,6100,60,8,,He,,,202.7475774,30.49823662,Gaia DR3 1468213546275054208,39.15177821,0.04150627,,650000,,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.8,,,,,,,-7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,,,,,,,,,,,,-9.7,,,,,,,,,,,,-9,,,,,,,,,,,,,,-7.3,,,,,,,,,,,,-8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0
46,G165-7,Wehrse & Liebert 1980,G165-7 Wehrse & Liebert 1980,7500,,8,,He,,,202.7475774,30.49823662,Gaia DR3 1468213546275054208,39.1518,0.0415,,650000,,,,,,,https://ui.adsabs.harvard.edu/abs/1980A%26A....86..139W/abstract,,-4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0
47,J0806+4058,Caron 2023,J0806+4058 Caron 2023,6090,42,8.17,0.032,He,0.679,0.029,121.6831241,40.97728854,Gaia DR3 921642532239821440,10.80597678,0.20499182,,800000,30000,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
48,SDSS J154625.33+300946.2,Hollands 2017,SDSS J154625.33+300946.2 Hollands 2017,6600,120,8,,He,,,236.6056047,30.16284987,Gaia DR3 1321060987390596096,6.028321375,0.31384957,,810000,70000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.78,,,,,,,-7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,,,,,,,,,,,,,,,,,,,,,,,,-8.65,,,,,,,,,,,,,,-7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0
49,SDSS J090222.98+362539.6,Hollands 2017,SDSS J090222.98+362539.6 Hollands 2017,6330,210,8,,He,,,135.59575,36.42767,Gaia DR3 718371660084289152,2.637865669,1.1040373,,1920000,50000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.53,,,,,,,-7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
50,SDSS J115029.52+453314.0,Hollands 2017,SDSS J115029.52+453314.0 Hollands 2017,5720,320,8,,He,,,177.623,45.55389,,,,,2010000,200000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.53,,,,,,,-7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
51,WD 1212-022,Leggett 2018,WD 1212-022 Leggett 2018,4618,16,7.873,0.031,He,0.494,0.025,183.7349285,-2.567455065,Gaia DR3 3694399755554510720,26.2846,0.1171,,2100000,,,,,,,https://ui.adsabs.harvard.edu/abs/2018ApJS..239...26L/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
52,LHS 2534,Hollands 2021,LHS 2534 Hollands 2021,4780,50,7.97,0.04,He,0.55,0.02,183.7349285,-2.567455065,Gaia DR3 3694399755554510720,26.2846,0.1171,4.78E+27,2100000,,,,,,,https://ui.adsabs.harvard.edu/abs/2021NatAs...5..451H/abstract,,-3.19,0.18,,,-11.83,0.08,,113291784000000,,,,,,,,,,,,,,,,,,,,,,,-9.53,0.06,,,,51123312000000,,-8.62,0.06,,,,50492160000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.16,0.08,,31873176000000,-10.08,0.11,,,,31557600000000,,,,,,,,,,,,,,,,,,,-10.28,0.06,,,,23573527200000,,,,,,,,,-9.06,0.08,,,,22184992800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,7,5
53,SDSS J092713.34+493109.3,Hollands 2017,SDSS J092713.34+493109.3 Hollands 2017,6200,230,8,,He,,,141.80558,49.51925,Gaia DR3 1017948412119208832,2.0285911,1.7952234,,2100000,90000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.09,,,,,,,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
54,SDSS J121456.39-023402.7,Hollands 2017,SDSS J121456.39-023402.7 Hollands 2017,5210,100,8,,He,,,183.7349285,-2.567455065,Gaia DR3 3694399755554510720,26.28455199,0.11714886,,2120000,300000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.98,,,,,,,-8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
55,SDSS J100849.59+465427.00,Kepler 2016,SDSS J100849.59+465427.00 Kepler 2016,7272,47,8,0,He,,,192.4063605,65.23541996,Gaia DR3 1677469197657784704,,,,2150000,50000,,,,,,https://ui.adsabs.harvard.edu/abs/2016MNRAS.455.3413K/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
56,SDSS J083200.38+410937.9,Hollands 2017,SDSS J083200.38+410937.9 Hollands 2017,6070,190,8,,He,,,128.0016018,41.16057777,Gaia DR3 914901048496026624,2.903096821,1.1568056,,2350000,110000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.73,,,,,,,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,,,-8.8,,,,,,,,,,,,,,-7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0
57,SDSS J225448.83+303107.1,Hollands 2017,SDSS J225448.83+303107.1 Hollands 2017,5900,90,8,,He,,,343.7033844,30.51879445,Gaia DR3 1886301464050926720,8.377069868,0.32331872,,2530000,30000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.54,,,,,,,-6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.26,,,,,,,,,,,,,,,,,,,,,,,,-9.01,,,,,,,,,,,,,,-7.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0
58,SDSS J115224.51+160546.7,Hollands 2017,SDSS J115224.51+160546.7 Hollands 2017,6550,160,8,,He,,,178.1021017,16.09633498,Gaia DR3 3924586672356908160,4.819555146,0.6154339,,2720000,40000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.28,,,,,,,-7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
59,WDJ151534.80+823028.99,Tremblay 2020,WDJ151534.80+823028.99 Tremblay 2020,4490,60,7.9,0.05,H,,,228.8950041,82.50805052,Gaia DR3 1722236328978172928,26.1,0.1,,3100000,200000,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.72,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2
60,SDSS J165101.72+424955.5,Hollands 2017,SDSS J165101.72+424955.5 Hollands 2017,5710,200,8,,He,,,252.7572086,42.83209861,Gaia DR3 1356633384004567168,11.16159628,0.1962245,,3120000,280000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,,,,,,,-6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
61,SDSS J111330.26+275131.4,Hollands 2017,SDSS J111330.26+275131.4 Hollands 2017,6180,210,8,,He,,,168.3761331,27.85872194,Gaia DR3 3998711726211472640,5.446226697,0.8375243,,3180000,90000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.2,,,,,,,-7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
62,J0107+2650,Caron 2023,J0107+2650 Caron 2023,5151,18,8.114,0.027,He,0.641,0.025,16.86923042,26.83924869,Gaia DR3 306779618349361920,13.89708366,0.22367203,,3370000,70000,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0
63,SDSS J233056.81+295652.6,Hollands 2017,SDSS J233056.81+295652.6 Hollands 2017,7000,110,8,,He,,,352.7366943,29.94800085,Gaia DR3 2869685937875719040,5.109615529,0.34298488,,3400000,40000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.02,,,,,,,-6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
64,SDSS J015748.14+003315.0,Hollands 2017,SDSS J015748.14+003315.0 Hollands 2017,6110,140,8,,He,,,29.45061035,0.5542057204,Gaia DR3 2507882875023059456,9.018105171,0.37513277,,3490000,50000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0
65,SDSS J110644.27+673708.6,Hollands 2017,SDSS J110644.27+673708.6 Hollands 2017,6400,170,8,,He,,,166.6844549,67.61899967,Gaia DR3 1060188315963488640,6.544945147,0.29213318,,3500000,90000,,,,,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.467.4970H/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.36,,,,,,,-6.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0
